pickup,dropoff,pickup_time_from,pickup_time_to,dropoff_time_from,dropoff_time_to,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,distance,travel_time,map_link
126 Liverpool St,"Unit 10, Hotspur Industrial Estate",08:30:00,11:00:00,08:30:00,20:30:00,51.5181999,-0.083709061,51.6065527,-0.0557492,10.012692009539386,12.015230411447263,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.6065527,-0.0557492"
127 Liverpool St,26 Warltersville Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5728415,-0.1223528,6.637558160071698,7.965069792086037,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5728415,-0.1223528"
128 Liverpool St,"Canopy Market, West Handyside Canopy",08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.535984,-0.123891,3.411388619757638,4.093666343709166,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.535984,-0.123891"
129 Liverpool St,Bank Chambers,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.6011628,-0.1941897,11.9763515153993,14.37162181847916,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.6011628,-0.1941897"
130 Liverpool St,Woodberry Down,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5727527,-0.0879671,6.0731368128074825,7.287764175368979,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5727527,-0.0879671"
131 Liverpool St,Arsenal Football Club,08:30:00,11:00:00,09:30:00,20:30:00,51.5181999,-0.083709061,51.5566692,-0.1063449,4.555086451761412,5.4661037421136935,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5566692,-0.1063449"
132 Liverpool St,"22, Screenworks, Unit 113",08:30:00,11:00:00,09:30:00,20:30:00,51.5181999,-0.083709061,51.5505333,-0.0972817,3.7158567998978724,4.459028159877446,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5505333,-0.0972817"
133 Liverpool St,17 Denewood Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.5756127,-0.1575129,8.173192158862614,9.807830590635136,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.5756127,-0.1575129"
134 Liverpool St,32 Market Road,08:30:00,11:00:00,10:00:00,20:30:00,51.5181999,-0.083709061,51.547105,-0.12073,4.1094994588074885,4.931399350568986,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.547105,-0.12073"
135 Liverpool St,12a Broadway Parade,08:30:00,11:00:00,09:30:00,20:30:00,51.5181999,-0.083709061,51.580391,-0.1226804,7.421808087973585,8.906169705568303,"https://www.google.com/maps/dir/51.5181999,-0.083709061/51.580391,-0.1226804"
